SKU,Description,Warehouse,Wire,Trailer,FN_Assy,Final Station,PDI,QC,Ship,ETO,Bat,Last Modified
PDS400S-006,"PDS400S-6E1 W/UNDERCARRIAGE ELECTRIC 3"" RING HITCH ASSEMBLY",10.0,0.0,0.0,163.0,ComAcc,15.0,30.0,30.0,0,0.0,2026-05-27
PDS400SC-001,"PDS400SC-6E1 W/UNDERCARRIAGE SURGE 2"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,335.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS400SC-002,"PDS400SC-6E1 W/UNDERCARRIAGE ELECTRIC 2"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,290.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS400SC-003,"PDS400SC-6E1 W/UNDERCARRIAGE SURGE 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,335.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS400SC-004,"PDS400SC-6E1 W/UNDERCARRIAGE ELECTRIC 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,290.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS400SC-005,"PDS400SC-6E1 W/UNDERCARRIAGE SURGE 3"" RING HITCH ASSEMBLY",5.0,0.0,0.0,335.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS400SC-006,"PDS400SC-6E1 W/UNDERCARRIAGE ELECTRIC 3"" RING HITCH ASSEMBLY",5.0,0.0,0.0,290.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS750-003,"PDSF750DP AIR COMPRESSOR SA ELEC 3"" RH ASSEMBLY",5.0,0.0,0.0,360.0,ComAcc,15.0,30.0,30.0,0,0.0,
SDG125-002,"SDG125S-8E1 ELECTRIC TRAILER 2"" BALL HITCH ASSEMBLY",5.0,0.0,210.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG125-003,"SDG125S-8E1 SURGE TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,180.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG125-004,"SDG125S-8E1 ELECTRIC TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,210.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG125-005,"SDG125S-8E1 SURGE TRAILER 3"" RING HITCH ASSEMBLY",5.0,0.0,180.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG125-006,"SDG125S-8E1 ELECTRIC TRAILER 3"" RING HITCH ASSEMBLY",5.0,0.0,210.0,15.0,Final,90.0,30.0,30.0,0,0.0,2026-05-27
SDG125-007,"SDG125S-8E1 SB ELECTRIC TRAILER 2"" BALL HITCH ASSEMBLY",5.0,0.0,210.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG13-001,"SDG13LAX-8E1 TRAILER 2"" BALL HITCH ASSEMBLY",5.0,0.0,45.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG13-002,"SDG13LAX-8E1 TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,45.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG13-003,"SDG13LAX-8E1 TRAILER 3"" RING HITCH ASSEMBLY",10.0,0.0,270.0,25.0,Final,30.0,30.0,30.0,0,0.0,2026-05-27
