SKU,Description,Warehouse,AccKIT,Nameplate Prep,BattSubRaw,PMAcc,GenAcc,Compressor,Last Modified
BOSS70-40 AXXX,EBOSS 70-40 ESTIMATION ACCESSORY PACKAGE,30.0,30.0,10.0,320.0,60.0,180.0,0.0,
BOSS70-A007,EBOSS 70-40 HYBRID CS CWP OES TEL UR DECAL ACCESSORY PACKAGE,30.0,30.0,10.0,240.0,60.0,238.0,0.0,2026-05-26
BOSS70-A008,EBOSS 7045 HYBRID CSA EH 600V ACCESSORY PACKAGE,5.0,5.0,0.0,0.0,60.0,60.0,0.0,
BOSS70-A009,EBOSS 7045 HYBRID CWP SOL ACCESSORY PACKAGE,5.0,5.0,0.0,0.0,60.0,230.0,0.0,
BOSS70-A010,EBOSS 7045 HYBRID CWP OES TELT3 ES DECAL ACCESSORY PACKAGE,0.0,0.0,0.0,0.0,60.0,322.0,0.0,
BOSS70-A011,EBOSS 7045 HYBRID AWP CSA 600V ACCESSORY PACKAGE,20.0,20.0,0.0,0.0,60.0,290.0,0.0,
BOSS70-65 AXXX,EBOSS 70-65 ESTIMATION ACCESSORY PACKAGE,30.0,30.0,10.0,320.0,60.0,300.0,0.0,
BOSS70-A012,EBOSS 70-65 EBH CCV EH OES TELT3 ES DECAL ACCESSORY PACKAGE,30.0,30.0,10.0,240.0,60.0,300.0,0.0,
BOSS70-A013,EBOSS 7040 HYBRID CSA CWP OES TEL UR DECAL ACCESSORY PACKAGE,5.0,5.0,0.0,0.0,60.0,341.0,0.0,
BOSS70-A014,EBOSS 7045 HYBRID AWP CSA SOL ACCESSORY PACKAGE,5.0,5.0,0.0,0.0,60.0,290.0,0.0,
BOSS70-A015,EBOSS 7045 CCV EBH SOL 200G EXT FUEL ACCESSORY PACKAGE,20.0,20.0,0.0,0.0,60.0,120.0,0.0,
BOSS70-A016,EBOSS 7045 AWP ACCESSORY PACKAGE,20.0,20.0,0.0,0.0,60.0,275.0,0.0,
BOSS70-A017,EBOSS 70-45 CWP TEL OES DECAL ACCESSORY PACKAGE,30.0,30.0,10.0,320.0,60.0,280.0,0.0,
BOSS70-45 AXXX,EBOSS 70-45 ESTIMATION ACCESSORY PACKAGE,30.0,30.0,10.0,320.0,60.0,280.0,0.0,
BOSS70HS-A001,EBOSS 70 PM EH HERC DECAL ACCESSORY PACKAGE,30.0,0.0,10.0,240.0,60.0,45.0,0.0,2026-05-26
BOSS70HS-A002,EBOSS 70 PM EH EQUIPMENT SHARE DECAL ACCESSORY PACKAGE,25.0,25.0,0.0,0.0,60.0,60.0,0.0,
BOSS70HS-A003,EBOSS 70 PM EH SUNSTATE DECAL ACCESSORY PACKAGE,10.0,10.0,10.0,320.0,60.0,60.0,0.0,
HES125-125ASSY,EBOSS 125KVA OUTPUT 125KVA INPUT HEAD UNIT ASSEMBLY,10.0,10.0,0.0,0.0,60.0,0.0,0.0,
HES125-ASSY,EBOSS 125KVA OUTPUT HEAD UNIT ASSEMBLY,5.0,5.0,0.0,0.0,60.0,0.0,0.0,
HES125-ASSYTU,125 HEAD UNIT SUPPLIER OWNED INVENTORY ASSEMBLY TEST UNIT,20.0,20.0,0.0,0.0,60.0,135.0,0.0,
HES15A-SSY,EBOSS HES 15 ASSEMBLY,5.0,5.0,0.0,0.0,60.0,0.0,0.0,
HES15M-AXASSY,EBOSS HES15MAX ASSEMBLY,10.0,10.0,0.0,0.0,60.0,0.0,0.0,
HES15R-2ASSY,15 HEAD UNIT REV 2 ASSEMBLY,10.0,10.0,0.0,0.0,60.0,0.0,0.0,
HES220-ASSY,EBOSS 220KVA OUTPUT HEAD UNIT ASSEMBLY,10.0,10.0,0.0,0.0,60.0,0.0,0.0,
HES220-ASSYTU,220 HEAD UNIT SUPPLIER OWNED INVENTORY ASSEMBLY TEST UNIT,10.0,10.0,0.0,0.0,60.0,135.0,0.0,
HES400-ASSY,EBOSS 400KVA OUTPUT HEAD UNIT ASSEMBLY,0.0,0.0,0.0,0.0,60.0,0.0,0.0,
HES70A-SSY,HES70ASSY,0.0,0.0,0.0,0.0,60.0,0.0,0.0,
HES70R-2ASSY,70 HEAD UNIT REV 2 ASSEMBLY,5.0,5.0,0.0,0.0,60.0,0.0,0.0,
5000000054,HEATER ENCLOSURE EBOSS25 EBOSS70 KIT,0.0,0.0,10.0,80.0,60.0,0.0,0.0,
SDG125-A001,SDG125S8E1 BC DCL ACCESSORY KIT,0.0,0.0,0.0,0.0,0.0,95.0,0.0,
SDG125-A002,SDG125S8E1 BC DCL EBH ACCESSORY KIT,0.0,0.0,0.0,0.0,0.0,125.0,0.0,
SDG125-A003,SDG125S8E1 BC BD DCL EBH ACCESSORY KIT,0.0,0.0,0.0,0.0,0.0,145.0,0.0,
SDG125-A004,SDG125S8E1 BC DCL OES SBC SL TEL ACCESSORY KIT,5.0,5.0,0.0,0.0,0.0,298.0,0.0,
SDG125-A005,SDG125S8E1 BC DCL OES SBC TEL ACCESSORY KIT,0.0,0.0,0.0,0.0,0.0,208.0,0.0,
SDG125-A006,SDG125S8E1 BC BD BHW DCL EBH HFF SL ACCESSORY KIT,0.0,0.0,0.0,0.0,0.0,330.0,0.0,
SDG125-A007,SDG125S8E1 AWP BC DCL PK ACCESSORY KIT,0.0,0.0,0.0,0.0,0.0,610.0,0.0,
SDG125-A008,SDG125S8E1 BC CWP DCL SL ACCESSORY KIT,0.0,0.0,0.0,0.0,0.0,415.0,0.0,
